Wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21
606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,0,0,0,0,0,0,0.005244689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,0,0,0,0,0,0,0.088959091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0.472429949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,0,0,0,0,0,0,0.879851777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,0,0,0,0,0,0,0.982253036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,0,0,0,0,0,0,0.991852937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619,0,0,0,0,0,0,0.994521832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0.992370597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0.994216512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0.997829347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0.996573694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0.911524194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,0,0,0,0,0,0,0.519358594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0.106962409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627,0,0,0,0,0,0,0.006482324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
